epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.99249,2.13204,4.25113,1.34477,0.95733,0.05092,0.06233,0.02742,1.77041,3.98447,1.12384,0.000231737,0.000231737,0.000231737
2,12.6397,1.88214,3.13473,1.13249,0.27371,0.19713,0.14942,0.0673,1.82688,2.90078,1.18729,0.000460436,0.000460436,0.000460436
3,18.1385,1.83096,2.33101,1.12334,0.26321,0.40035,0.28,0.13468,1.81365,2.04345,1.14064,0.00067971,0.00067971,0.00067971
4,23.5732,1.7876,1.87751,1.12101,0.33233,0.60559,0.42472,0.21778,1.72352,1.6142,1.16088,0.000671588,0.000671588,0.000671588
5,28.9305,1.7445,1.68129,1.11291,0.47641,0.57579,0.49974,0.25601,1.69263,1.49665,1.12408,0.000657451,0.000657451,0.000657451
6,34.4283,1.7121,1.54926,1.1122,0.59184,0.597,0.62452,0.31595,1.69488,1.46299,1.13689,0.000643314,0.000643314,0.000643314
7,39.8844,1.68267,1.44405,1.11409,0.66564,0.64557,0.69946,0.35897,1.69432,1.31558,1.16752,0.000629177,0.000629177,0.000629177
8,45.2189,1.64339,1.37664,1.0976,0.69126,0.69099,0.73544,0.37661,1.67007,1.3247,1.16489,0.00061504,0.00061504,0.00061504
9,50.8168,1.63045,1.32627,1.10724,0.76494,0.71555,0.79368,0.45092,1.5462,1.10519,1.10781,0.000600902,0.000600902,0.000600902
10,56.4501,1.59827,1.22647,1.08966,0.80336,0.74637,0.82805,0.47903,1.49394,1.04291,1.09101,0.000586765,0.000586765,0.000586765
11,62.1,1.56886,1.20587,1.08376,0.80661,0.76822,0.85904,0.48408,1.51067,1.00411,1.10852,0.000572628,0.000572628,0.000572628
12,67.6603,1.55381,1.14617,1.07248,0.83944,0.77617,0.86803,0.50497,1.45369,0.96264,1.08351,0.000558491,0.000558491,0.000558491
13,74.0214,1.52494,1.09787,1.07269,0.88767,0.79827,0.89936,0.52799,1.44059,0.89946,1.08372,0.000544354,0.000544354,0.000544354
14,79.8092,1.51589,1.06528,1.075,0.89341,0.79288,0.90396,0.53657,1.44635,0.88843,1.08634,0.000530216,0.000530216,0.000530216
15,85.4467,1.48529,1.02856,1.05852,0.92149,0.83285,0.92061,0.55231,1.39544,0.81497,1.07279,0.000516079,0.000516079,0.000516079
16,91.2527,1.47554,1.02282,1.05773,0.91099,0.83468,0.93153,0.56463,1.35928,0.8069,1.06026,0.000501942,0.000501942,0.000501942
17,96.9818,1.45425,1.00028,1.04715,0.93724,0.85614,0.93662,0.56927,1.37365,0.77721,1.05628,0.000487805,0.000487805,0.000487805
18,102.665,1.46239,0.97267,1.05801,0.94773,0.87009,0.9478,0.58424,1.35609,0.77082,1.05867,0.000473668,0.000473668,0.000473668
19,108.328,1.4353,0.96073,1.0435,0.94462,0.85452,0.94397,0.59012,1.33936,0.75155,1.04613,0.00045953,0.00045953,0.00045953
20,113.969,1.41016,0.91876,1.03891,0.94701,0.87953,0.95465,0.6027,1.2977,0.72894,1.03105,0.000445393,0.000445393,0.000445393
21,119.669,1.39573,0.91265,1.03689,0.94739,0.87892,0.95206,0.60961,1.26802,0.71474,1.02227,0.000431256,0.000431256,0.000431256
22,125.421,1.40375,0.92156,1.03917,0.94487,0.88696,0.95826,0.61379,1.26892,0.69651,1.02479,0.000417119,0.000417119,0.000417119
23,131.115,1.38333,0.88925,1.03523,0.95866,0.90169,0.96514,0.61765,1.26913,0.67525,1.02232,0.000402982,0.000402982,0.000402982
24,136.757,1.39023,0.88969,1.02948,0.95049,0.89942,0.9645,0.62582,1.2417,0.68219,1.0145,0.000388844,0.000388844,0.000388844
25,142.544,1.35854,0.86859,1.02476,0.95697,0.89777,0.96582,0.62452,1.25348,0.67192,1.0187,0.000374707,0.000374707,0.000374707
26,148.184,1.34482,0.86726,1.02504,0.95364,0.90996,0.97012,0.63617,1.20594,0.65509,1.00111,0.00036057,0.00036057,0.00036057
27,153.879,1.34189,0.86392,1.00888,0.96597,0.8989,0.96682,0.6413,1.20288,0.6471,0.99946,0.000346433,0.000346433,0.000346433
28,159.504,1.32245,0.82954,1.00931,0.96589,0.91292,0.97414,0.65272,1.18428,0.63148,0.99389,0.000332296,0.000332296,0.000332296
29,165.326,1.32387,0.84329,1.00716,0.96101,0.91722,0.97494,0.65701,1.15542,0.62822,0.98584,0.000318158,0.000318158,0.000318158
30,171.048,1.28715,0.8196,0.99862,0.97309,0.91612,0.97536,0.65485,1.16303,0.62519,0.98637,0.000304021,0.000304021,0.000304021
31,176.708,1.28495,0.80737,0.99515,0.97162,0.91546,0.97839,0.67073,1.11991,0.60988,0.97193,0.000289884,0.000289884,0.000289884
32,182.497,1.27201,0.81719,0.9921,0.97497,0.92007,0.97847,0.67646,1.11031,0.5937,0.97038,0.000275747,0.000275747,0.000275747
33,188.093,1.28421,0.81139,0.99351,0.96715,0.92193,0.97879,0.68066,1.09987,0.59639,0.96593,0.00026161,0.00026161,0.00026161
34,193.672,1.25263,0.78574,0.98747,0.97387,0.92706,0.97996,0.68785,1.09836,0.5827,0.96388,0.000247472,0.000247472,0.000247472
35,199.291,1.25354,0.78387,0.98514,0.97513,0.92847,0.98155,0.67242,1.13622,0.59176,0.96856,0.000233335,0.000233335,0.000233335
36,204.995,1.22665,0.76191,0.98025,0.97403,0.93059,0.98177,0.69752,1.06043,0.56614,0.95429,0.000219198,0.000219198,0.000219198
37,210.872,1.22238,0.76077,0.97651,0.97924,0.93092,0.98309,0.69996,1.07803,0.56544,0.95714,0.000205061,0.000205061,0.000205061
38,216.835,1.21793,0.7716,0.97895,0.97357,0.93709,0.98386,0.70478,1.04064,0.55984,0.94696,0.000190924,0.000190924,0.000190924
39,222.586,1.20129,0.75986,0.97429,0.96813,0.94115,0.98314,0.71034,1.01891,0.55056,0.94027,0.000176786,0.000176786,0.000176786
40,228.208,1.20443,0.75476,0.96717,0.98359,0.93519,0.98496,0.70724,1.0429,0.55018,0.94616,0.000162649,0.000162649,0.000162649
41,234.558,1.23077,0.84785,1.0089,0.97164,0.9268,0.97896,0.69449,1.06115,0.5951,0.95238,0.000148512,0.000148512,0.000148512
42,240.215,1.16837,0.7422,0.98904,0.96665,0.92459,0.97747,0.68956,1.0697,0.58764,0.95499,0.000134375,0.000134375,0.000134375
43,245.851,1.12779,0.70772,0.97277,0.97138,0.93388,0.98093,0.69767,1.03726,0.56976,0.94411,0.000120238,0.000120238,0.000120238
44,251.523,1.11708,0.6919,0.97073,0.97472,0.93613,0.98227,0.70657,1.02557,0.55743,0.93995,0.0001061,0.0001061,0.0001061
45,257.238,1.11418,0.69291,0.96447,0.97009,0.94544,0.98349,0.71387,1.00057,0.55277,0.93383,9.19632e-05,9.19632e-05,9.19632e-05
46,262.794,1.09255,0.67664,0.95695,0.97394,0.94141,0.98427,0.71664,0.98965,0.54695,0.93071,7.7826e-05,7.7826e-05,7.7826e-05
47,268.402,1.0933,0.67877,0.96074,0.97086,0.94733,0.98518,0.72112,0.98011,0.53817,0.928,6.36888e-05,6.36888e-05,6.36888e-05
48,274.063,1.07968,0.66002,0.95545,0.97432,0.94244,0.98447,0.72422,0.97825,0.53421,0.92688,4.95516e-05,4.95516e-05,4.95516e-05
49,279.656,1.05765,0.65085,0.95089,0.97373,0.94688,0.98509,0.72711,0.96571,0.5297,0.92318,3.54144e-05,3.54144e-05,3.54144e-05
50,285.234,1.06569,0.65942,0.95479,0.97132,0.95066,0.98536,0.7271,0.96347,0.52704,0.92319,2.12772e-05,2.12772e-05,2.12772e-05
