epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6222,1.22427,1.61775,2.4546,1.10603,0,0.94833,0.6387,0.86318,0.55521,0.94833,0.6387,0.87574,0.64865,1.06588,0.98444,2.69849,0.97486,0,0.000657005,0.000657005,0.000657005
2,36.7664,1.14628,0.93896,1.61007,1.03413,0,0.69038,0.80586,0.80284,0.49179,0.69274,0.81319,0.80796,0.60764,1.21098,1.16915,1.92425,1.09536,0,0.00129746,0.00129746,0.00129746
3,52.6681,1.18396,1.03048,1.4758,1.08813,0,0.80377,0.92674,0.8607,0.57062,0.80695,0.9304,0.867,0.66866,1.11671,0.84558,1.2666,1.10416,0,0.00191152,0.00191152,0.00191152
4,68.415,1.11087,0.93079,1.26049,1.03539,0,0.9214,0.9011,0.96062,0.61797,0.9214,0.9011,0.96148,0.73576,1.19009,1.0594,1.09486,1.10486,0,0.0018812,0.0018812,0.0018812
5,84.1136,1.06818,0.90889,1.112,1.03784,0,0.94961,0.90659,0.97096,0.71492,0.94669,0.90659,0.97161,0.79233,0.96615,0.76226,0.96745,1.0603,0,0.0018416,0.0018416,0.0018416
6,99.3915,1.06435,0.87598,1.01219,1.04612,0,0.95167,0.95055,0.98424,0.69464,0.95167,0.95055,0.98444,0.79714,0.95333,0.786,0.8192,1.02249,0,0.001802,0.001802,0.001802
7,114.985,0.97493,0.84678,0.93382,1.01719,0,0.79275,0.85897,0.87414,0.63632,0.80312,0.86996,0.89043,0.71449,0.89967,0.69524,1.16889,1.0352,0,0.0017624,0.0017624,0.0017624
8,130.207,0.96429,0.78855,0.90091,1.01071,0,0.96768,0.93232,0.98405,0.74934,0.96922,0.92857,0.98302,0.7988,0.84984,0.72634,0.66732,0.98733,0,0.0017228,0.0017228,0.0017228
9,145.737,0.95463,0.79278,0.83178,0.9861,0,0.97063,0.96845,0.98972,0.77091,0.97247,0.97028,0.99036,0.82118,0.83603,0.67644,0.66893,0.96362,0,0.0016832,0.0016832,0.0016832
10,161.171,0.90873,0.77038,0.77898,0.98436,0,0.95685,0.97466,0.98425,0.77761,0.95685,0.97466,0.98425,0.81802,0.7303,0.61178,0.58147,0.93264,0,0.0016436,0.0016436,0.0016436
11,176.595,0.91117,0.75057,0.75504,0.99064,0,0.97986,0.98039,0.99205,0.74886,0.98348,0.98114,0.9921,0.82916,0.86254,0.60333,0.63342,0.95414,0,0.001604,0.001604,0.001604
12,192.227,0.87334,0.72553,0.70952,0.96484,0,0.94546,0.97436,0.98993,0.77039,0.94546,0.97436,0.98993,0.79921,0.79913,0.55697,0.59628,0.947,0,0.0015644,0.0015644,0.0015644
13,207.766,0.90619,0.74427,0.7006,0.95087,0,0.97613,0.96886,0.99143,0.8005,0.97613,0.96886,0.99143,0.84689,0.72406,0.5521,0.58112,0.92457,0,0.0015248,0.0015248,0.0015248
14,223.222,0.85628,0.69761,0.68987,0.96494,0,0.98533,0.9841,0.99406,0.80586,0.98537,0.98719,0.99413,0.83082,0.75211,0.5633,0.54709,0.91509,0,0.0014852,0.0014852,0.0014852
15,238.612,0.84155,0.72335,0.65058,0.96605,0,0.99117,0.99267,0.9935,0.80472,0.99117,0.99267,0.99356,0.84207,0.73028,0.53906,0.53948,0.91103,0,0.0014456,0.0014456,0.0014456
